"brood_year","Age1Hat","Age2Hat","Age3Hat","Age4Hat","Age5Hat"
1995,0,0,0,0,33.3796177426963
1996,0,0,0,197.739864308365,1.10503694492934
1997,0,0,3585.83244178068,1699.23188342126,0
1998,0,523.559765462361,2095.96006572854,495.610566508512,4.16197139247865
1999,0,36.0574232906342,416.787432965865,185.794006380079,7.19391702278786
2000,0,1355.90511669629,2820.69272089764,856.480198410732,6.12174179347979
2001,0,290.876559160444,912.997320574321,93.6739935762091,0
2002,0,2330.60552814329,7262.86174784391,856.155999797089,0
2003,0,656.093551045351,3714.7528738071,1959.84619008924,36.6091587563598
2004,0,34.2740376510077,698.047900158856,139.838073616111,0
2005,0,79.1788622133196,3937.31918047406,1042.52168580871,6.72889670624746
2006,0,337.542028668494,3640.26003266604,398.07863624144,4.29541931165674
2007,4.00836800916205,4387.21278217888,12299.95089593,2308.98079713083,12.2228443447947
2008,0,4584.05724545381,7833.21577629266,421.532898096695,0
2009,8.0422714496695,19446.897383659,26921.0664188562,1036.29172148651,0
2010,8.16190272877762,8393.59514692657,20014.6108602872,6298.61799292787,68.9678392247931
2011,0,2748.42923107411,8425.16705038878,1786.38580983137,17.0680704973318
2012,3.97495130468523,5458.23226131827,10979.2952762105,2246.17503025888,19.1499341006562
2013,0,3281.52888172297,9927.39695881121,818.711768237046,0
2014,0,4712.16302268813,12829.0906785876,400.34081211307,4.03512093171182
2015,0,11270.7135330561,17395.4777522182,823.283816423913,0
2016,0,5943.54807071921,8869.54022976932,1853.03982482475,17.6132212452176
2017,0,7016.68969537727,15391.4541558994,2798.70957141692,0
2018,0,834.82974363805,4057.19483871798,0,0
2019,0,1070.46338679818,0,0,0
