"brood_year","ImpLower","ImpMean","ImpUpper","Age"
1983,0,0,0,2
1993,0,0,0,2
1995,0.040987509397376,0.0490154788930349,0.0580905912108203,2
1996,0.016559574240793,0.023729072428367,0.0385345337896566,2
1997,0.0101757348474052,0.017951870460427,0.0334684116368871,2
1998,0.00455978257821755,0.00577780975785603,0.00725995808330303,2
1999,0.00202470241279851,0.00259090713805406,0.00324642408391263,2
2000,0.012105369583468,0.0133392038450464,0.0145891418211412,2
2001,0.00896487673133141,0.0103416221279933,0.0118956321249239,2
2002,0.0433904206618509,0.0527249595328199,0.0660720420032443,2
2003,0.0109614373569079,0.0147858376838894,0.0193985815738387,2
2004,0.0485532621762305,0.101170958203625,0.196981086651436,2
2005,0.00239124669973482,0.00538226986094952,0.00973922455190871,2
2006,0,0,0,2
2007,0.000286637435630817,0.000508597416789461,0.000895235967117469,2
2008,0.00590634137774335,0.00705288619946522,0.00824519430192949,2
2009,0.0106879653439588,0.012869943010762,0.0141123371801297,2
2010,0.00422975694818992,0.00540301350486771,0.00684373312868026,2
2011,0.00572016884519201,0.00704009072839084,0.00823571857001572,2
2012,0.0237636386429756,0.0269576361215508,0.0297431476364928,2
2013,0.0130319375111123,0.0158090137027185,0.0178867129369847,2
2014,0.0195381204305835,0.027468392274033,0.0344120194827987,2
2015,0.034475873029721,0.0439197125025709,0.0500623172424433,2
2016,0.0263366390421557,0.0300161241999047,0.0322561244315092,2
2017,0.0130335277563225,0.0149271731033209,0.0163305221133363,2
2018,0.0105009628605968,0.0131969223217812,0.0177994684506789,2
2019,0.118182487744251,0.162174883442721,0.191940654243262,2
2020,0,0,0,2
1983,0,0,0,3
1993,0.591123217306773,0.627456706047985,0.66084880946733,3
1995,0.596861718571199,0.617860021662195,0.636828902064055,3
1996,0.558777306906577,0.582736827880751,0.603735008702093,3
1997,0.436180156775197,0.467088439881793,0.490065451306711,3
1998,0.198184380786104,0.22641820160152,0.255646824017426,3
1999,0.234295427843013,0.250341471833832,0.266689619412714,3
2000,0.329566508885909,0.340995435312229,0.350838561420644,3
2001,0.467282585460131,0.476012049780438,0.484764290565198,3
2002,0.357646123895455,0.382711765908085,0.408780153546574,3
2003,0.193398961466091,0.21534504055687,0.237422302954667,3
2004,0.162768691119457,0.295744110695675,0.424856158949988,3
2005,0.00118877481593126,0.00248424109169491,0.00508342250850859,3
2006,0.00584486803651466,0.00872200810996711,0.0122434435838231,3
2007,0.113986713275126,0.122200685407765,0.129498845678531,3
2008,0.178917155757442,0.204214488272875,0.218066841507184,3
2009,0.265775045584553,0.315145167419576,0.335642760598557,3
2010,0.250084654936532,0.284483352682095,0.299259874217349,3
2011,0.364548967310524,0.414056220802742,0.43610575938048,3
2012,0.30980386088096,0.347074641800649,0.364979284190451,3
2013,0.296647074013124,0.358431401947387,0.387718397446583,3
2014,0.246156826156735,0.33498393916822,0.379255130672005,3
2015,0.212047792126894,0.257543710683762,0.279935263949892,3
2016,0.432010624057955,0.482812010674812,0.504614451928371,3
2017,0.3210601774447,0.352676518608472,0.368027148395988,3
2018,0.520554597973266,0.586665133007267,0.616557728673835,3
2019,0.185534228366774,0.38091971925349,0.553451717187645,3
2020,0,0,0,3
1983,0,0,0,4
1993,0.810663408118387,0.852993119393859,0.881963315052197,4
1995,0.794200268020014,0.815373858516873,0.830480595529208,4
1996,0.233775029510188,0.273873779945379,0.310410814198344,4
1997,0.219291975320358,0.272214995815019,0.320125484282616,4
1998,0.160443107450532,0.200181773519752,0.250665769227386,4
1999,0.238432650872518,0.269183200843518,0.300578588487389,4
2000,0.61641894712395,0.638254830535367,0.659163770836788,4
2001,0.355470170732708,0.375740302454525,0.395202502821208,4
2002,0.338821069888176,0.392214961458633,0.451215386793507,4
2003,0.212934730018953,0.266923362278885,0.316500431000758,4
2004,0.0135463920520585,0.0284563659206174,0.0594437690223514,4
2005,0,0,0,4
2006,0.113428321400617,0.146943203072472,0.187130218520507,4
2007,0.141518362579696,0.158309845133361,0.174540100652395,4
2008,0.314440951315048,0.368690176269863,0.409872529724581,4
2009,0.345622615725304,0.389291907162348,0.416520804479209,4
2010,0.380928849411769,0.429461556870413,0.45280591067111,4
2011,0.412440180365455,0.480294551744806,0.515922928028878,4
2012,0.374272445501951,0.415420247891527,0.444978829800379,4
2013,0.473747421770237,0.578642306733644,0.637683814594797,4
2014,0.723249519345606,0.777326874060795,0.817524438289204,4
2015,0.505839531392574,0.563172695691745,0.609912019450394,4
2016,0.280895606546313,0.332116191094232,0.360589386172809,4
2017,0.523971428243365,0.558329948561702,0.584679512809289,4
2018,0.469431963362821,0.626315782505432,0.73204023437788,4
2019,0,0,0,4
2020,0,0,0,4
1983,0,0,0,5
1993,0.839580728655494,0.857908332227773,0.868729864821353,5
1995,0.119906012764554,0.223188159090757,0.362951931543231,5
1996,0.838877882937602,0.900211996713921,0.946399520904069,5
1997,0.0609985487093587,0.315101676314876,0.742647658205566,5
1998,0.218611657668117,0.525294849829897,0.764870266200651,5
1999,0.471983626940182,0.585819793937932,0.702738794905187,5
2000,0.714865467761755,0.791836542493139,0.850421012793341,5
2001,0.861274696638391,0.899394790658027,0.923315823347459,5
2002,0.945776142215551,0.982747300904767,0.99762048669612,5
2003,0.142467409360728,0.465961509189502,0.816737410157603,5
2004,0,0,0,5
2005,0,0,0,5
2006,0.0616997559521832,0.127499120317247,0.233229945509781,5
2007,0.597613477630205,0.718598956087302,0.818450378691101,5
2008,0.853502176784203,0.942286522954521,0.976302715455231,5
2009,0.693363675594107,0.857447332549662,0.942303100564868,5
2010,0.700978511556685,0.777119611063645,0.835892409280017,5
2011,0.782335048864738,0.86945941180638,0.910240459530018,5
2012,0.569110581524719,0.746348056417453,0.862526198498742,5
2013,0.888402270021975,0.929853972670821,0.953607517720114,5
2014,0.819630096355478,0.861631643191155,0.910207335210717,5
2015,0.165521281259703,0.498609121971151,0.82249971358889,5
2016,0.494492562396974,0.664976353807899,0.805967561462251,5
2017,0.867585835989604,0.956189492308043,0.993395317433919,5
2018,0,0,0,5
2019,0,0,0,5
2020,0,0,0,5
