"brood_year","Mat2Lower","Mat2Mean","Mat2Upper","Mat3Lower","Mat3Mean","Mat3Upper","Mat4Lower","Mat4Mean","Mat4Upper","SDMat2","SDMat3","SDMat4"
2007,0,0,0,1,1,1,1,1,1,0,0,0
2008,0.121960053207649,0.911073792189412,1,0,0.88,1,1,1,1,NA,0.325124138915747,0
2009,0,0,0,0.715809403209004,0.89192194320536,1,1,1,1,0,0.0871849333415218,0
2010,0,0.0425058502248106,0.118568426662141,0.520230993857262,0.634935447679135,0.746998306304326,1,1,1,0.033337757849571,0.0585133613715736,0
2011,0,0.00803513724450339,0.0567177009147134,0.35009852219466,0.536534060691969,0.826009747678473,1,1,1,0.0164856869492315,0.121877080330864,0
2012,0,0.0307061780458711,0.0701096864845033,0.592932892224464,0.707541026030314,0.844176129447254,1,1,1,0.0193813704904437,0.0647595452025224,0
2013,0.0774983059898675,0.242252476921211,0.431554421786565,0.61087712920942,0.861871392499961,1,1,1,1,0.0862085168421823,0.120366164342068,0
2014,0.00607840474025621,0.147917231388479,0.441511094650545,0.0814636836968082,0.602437047209003,0.992250680208646,1,1,1,0.123651438402015,0.317574523079962,0
2015,0.126728849002413,0.239038472128863,0.404978623956197,0.564590276785454,0.922497804491774,1,1,1,1,0.0754187123751978,0.132093331251657,0
2016,0.0375201566237275,0.0711694717788281,0.114004034484071,0.442757406353252,0.562953021033617,0.726076714923708,1,1,1,0.0195173336624862,0.072534073375198,0
