"brood_year","ProdLower","ProdMean","ProdUpper","Age2Lower","Age2Mean","Age2Upper","ParentLower","ParentMean","ParentUpper"
2006,0.0863221522145332,0.127524519650469,0.171150238139339,17428.0109213532,25746.5628948315,34554.3773291418,201895,201895,201895
2007,2.23480500192893,2.43477152513614,2.67787152839793,160208.700978281,174543.90109396,191971.25412779,71688,71688,71688
2008,3.86463982532571,4.42087369202396,5.21179053982708,194553.698086547,222555.62340387,262371.959355975,50342,50342,50342
2009,19.570914323175,22.0544091335303,26.476142754628,559278.018613371,630248.849808896,756608.731499003,28577,28577,28577
2010,10.8059865127487,11.8293551777356,13.3866753475272,1151118.51925707,1260133.88966346,1426028.97807069,106526,106526,106526
2011,3.28257827758107,3.78922687164454,4.4543756016952,384235.635125697,443540.373006608,521398.027305228,117053,117053,117053
2012,1.47156911045383,1.65547187249544,1.90124544364085,270990.923259183,304856.800791907,350116.249691906,184151,184151,184151
2013,0.417201768084824,0.490889913634549,0.6000795516746,133579.662105399,157173.13254751,192133.470855173,320180,320180,320180
2014,0.708275578119493,0.883213773746486,1.13300084142337,132210.260789675,164865.099076388,211491.602064293,186665,186665,186665
2015,1.96876404189264,2.31195764656256,2.81450334291368,170975.344454125,200779.649858079,244422.728311996,86844,86844,86844
2016,17.3023724133773,18.5487322988549,21.0872643447555,1180246.7294337,1265264.67630179,1438425.56274881,68213,68213,68213
2017,5.38429823636748,6.17565814749688,7.35613623664892,146749.048432196,168317.562810028,200491.493129866,27255,27255,27255
2018,0.1175791597067,0.154455698830329,0.205756944163045,11846.6882362486,15562.1839356498,20731.0409091476,100755,100755,100755
