Year,Jacks,PostSI,OceanHarvest,ExploitR
1983,45735.961,461.133039,332.894,76.09192366
1984,40606.099,538.061901,353.147,70.45471893
1985,40010.948,792.752052,514.392,69.8131274
1986,33691.616,1035.731384,756.445,76.81798701
1987,80230.492,1086.102508,859.205,82.03995419
1988,22684.875,1616.130125,1351.542,85.92519739
1989,27609.111,937.345889,759.887,83.72405632
1990,13861.73,780.00327,657.763,86.52694494
1991,14607.726,534.579937,389.702,77.76404822
1992,25851.484,397.631516,302.763,79.49244144
1993,22049.783,623.208217,458.117,77.95436369
1994,46796.766,666.741234,472.299,75.16469275
1995,34970.134,1464.551866,1121.047,79.83595714
1996,41876.235,934.682765,583.826,67.728862
1997,40464.426,1191.100574,789.985,71.04857629
1998,33840.602,722.052398,406.336,65.94327521
1999,39557.44,833.99556,365.312,52.05855053
2000,23039.36,1051.64764,574.64,60.29690705
2001,42750.92,1072.04008,377.877,44.33276413
2002,53253,1490.791,631.687,48.3584218
2003,33623,1216.333,607.966,57.00059112
2004,75745,1168.169,834.467,75.4414815
2005,19862,955.544,494.915,58.55711511
2006,8446,577.563,257.651,52.38095238
2007,1904,257.671,151.981,64.53850065
2008,4122,69.634,4.133,6.132061924
2009,9467,41.148,0.275,0.668319238
2010,27288,149.788,22.814,17.032072
2011,85543,207.02,69.503,42.35242972
2012,36023,627.927,276.699,54.54423842
2013,20402,869.325,404.945,53.19978144
2014,24627,551.183,302.982,61.45091558
2015,19870,254.949,124.613,55.49384387
2016,16997,205.317,91.763,56.31194689
2017,25078,137.063,70.668,67.65793832
2018,43606,220.366,98.626,52.14052985
2019,30151,507.052,322.978,67.70212917
2020,13916,352.486,199.498,60.82369229
2021,17211,322.5,207.3,67.59317829
2022,6996,253,186.3,75.55731225
