"run_year","Sept1Lower","Sept1Mean","Sept1Upper"
2010,90791.684758754,97412.8250804411,105653.342128031
2011,91064.6221637464,104257.714917823,122973.139257789
2012,267988.622941554,301017.616658757,358843.42170652
2013,601398.756718397,654714.317346456,742768.906434073
2014,329798.117748083,361085.645540797,413345.828673078
2015,156532.43818295,174133.060651406,198522.649913481
2016,77040.5770354015,87950.7488032615,103605.432353875
2017,56063.3663515564,70211.6109755049,89213.2440971264
2018,79064.5334193633,92615.97273035,109587.340472302
2019,534768.331002602,571976.044982669,645693.23412688
2020,126811.431582696,138817.651846962,162212.207278004
2021,0,0,0
