sampling_agency,sampling_site,Location
CDFO,0,CAN
CDFO,1,CAN
ODFW,1,CO
WDFW,1,WA
CDFO,2,CAN
WDFW,2,WA
ODFW,3,NO
WDFW,3,WA
ODFW,4,NO
WDFW,4,WA
ODFW,5,NO
WDFW,5,WA
ODFW,6,NO
WDFW,6,WA
CDFO,7,CAN
CDFO,8,CAN
ODFW,8,CO
ODFW,9,CO
ODFW,11,CO
WDFW,11,WA
ODFW,12,KO
ODFW,13,KO
CDFO,14,CAN
CDFO,15,CAN
CDFO,16,CAN
CDFO,17,CAN
CDFO,18,CAN
CDFO,19,CAN
WDFW,21,WA
WDFW,24,WA
CDFO,27,CAN
WDFW,31,WA
ODFW,46,CO
ODFW,201,WA
ODFW,202,WA
ODFW,203,WA
ODFW,204,NO
ODFW,502,NF
ODFW,1001,WA
ODFW,1002,WA
ODFW,1003,NO
ODFW,1004,NO
ODFW,1005,CO
ODFW,1603,NO
ODFW,1604,NO
ODFW,2203,NO
ODFW,2204,NO
ODFW,2205,CO
ODFW,2401,WA
ODFW,2402,WA
ODFW,2403,NO
ODFW,2404,NO
ODFW,2405,CO
ODFW,2406,KO
ODFW,2407,CO
ODFW,3004,NO
ODFW,3005,CO
ODFW,3006,KO
ODFW,3202,WA
ODFW,3204,NO
ODFW,3205,CO
ODFW,3206,KO
ODFW,3402,CO
ODFW,3403,NO
ODFW,3404,NO
ODFW,3405,CO
ODFW,3406,KO
ODFW,3407,KC
ODFW,3605,CO
ODFW,3805,CO
ODFW,3806,KO
ODFW,4006,KO
ODFW,4205,CO
ODFW,4206,KO
ODFW,4207,KC
ODFW,6020,KO
NMFS,39N,FB
NMFS,40N,KC
NMFS,41N,KC
NMFS,42N,KO
NMFS,43N,CO
NMFS,44N,NO
NMFS,45N,NO
NMFS,46N,WA
NMFS,47N,WA
NMFS,48N,WA
CDFW,AVI,MO
CDFW,AVMA,MO
CDFW,AVMO,MO
CDFW,BER,SF
CDFW,BESF,SF
CDFW,BOD,SF
CDFW,BOMO,MO
CDFW,BOSF,SF
CDFW,CRC,KC
CDFW,CRCR,KC
CDFW,CRD,KC
CDFW,CRKC,KC
CDFW,CRL,KC
CDFW,DOSF,SF
CDFW,EME,SF
CDFW,EUEU,KC
CDFW,EUFB,FB
CDFW,EUKC,KC
CDFW,EUR,KC
CDFW,FBBO,SF
CDFW,FBFB,FB
CDFW,FBSF,SF
CDFW,FLD,KC
CDFW,FTB,FB
CDFW,HUE,MO
CDFW,LMSF,SF
CDFW,MNMO,MO
CDFW,MON,MO
CDFW,MOR,MO
CDFW,MOS,MO
CDFW,MRMA,MO
CDFW,MRMO,MO
CDFW,MSMO,MO
CDFW,OAK,SF
CDFW,OXN,MO
CDFW,PRI,SF
CDFW,PRMO,MO
CDFW,PRSF,SF
CDFW,RCSF,SF
CDFW,SASF,SF
CDFW,SAU,SF
CDFW,SBA,MO
CDFW,SBMA,MO
CDFW,SCMO,MO
CDFW,SCR,MO
CDFW,SFMO,MO
CDFW,SFSF,SF
CDFW,SHC,FB
CDFW,SHFB,FB
CDFW,SNF,SF
CDFW,TRD,KC
CDFW,TREU,KC
CDFW,TRH,KC
CDFW,TRKC,KC
CDFW,TRN,KC
CDFW,VEN,MO
CDFW,VESB,MO
ADFG,1,AK
ADFG,3,AK
ADFG,5,AK
ADFG,7,AK
