"run_year","Unfished3Lower","Unfished3Mean","Unfished3Upper"
2010,61795.1753555756,66417.2090442751,71463.9683180675
2011,53669.1500141854,59317.6640324368,67283.1119052674
2012,164612.850607801,183284.781160256,222951.651255874
2013,294427.780659721,319219.810888016,368621.729976334
2014,253222.39171468,273944.904509469,306151.523815197
2015,131389.007435247,143336.540075626,160267.772914549
2016,69024.8471641986,77912.0709922613,89452.8178670347
2017,36309.6669883735,43199.2249827069,57979.7402953077
2018,58085.1376117293,67458.4650108194,79068.9775871308
2019,308146.753158142,329776.492625626,381342.709924871
2020,176402.346973989,188147.262215839,204910.691768744
2021,0,0,0
